# gpu=Tesla T4, cc=7.5, driver=13.0, toolkit=12.8
device,n,k,block,time_ms,gflops
gpu,1024,1024,256,0.01224,171.34
gpu,4096,1024,256,0.01202,698.12
gpu,16384,1024,256,0.01704,1969.16
gpu,65536,1024,256,0.04083,3287.07
gpu,262144,1024,256,0.13173,4075.60
gpu,1048576,1024,256,0.50091,4287.15
gpu,4194304,1024,256,1.97130,4357.51
gpu,16777216,1024,256,7.85739,4372.92
gpu,67108864,1024,256,20.05635,6852.64
# cpu baseline, omp_max_threads=2
cpu1,1024,1024,1,1.48509,1.41
cpu1,4096,1024,1,5.87876,1.43
cpu1,16384,1024,1,22.87655,1.47
cpu1,65536,1024,1,92.93224,1.44
cpu1,262144,1024,1,365.27955,1.47
cpu1,1048576,1024,1,1485.98506,1.45
cpuN,1024,1024,2,0.73546,2.85
cpuN,4096,1024,2,9.31802,0.90
cpuN,16384,1024,2,24.17900,1.39
cpuN,65536,1024,2,81.47946,1.65
cpuN,262144,1024,2,193.11670,2.78
cpuN,1048576,1024,2,771.67213,2.78
